out	KCNG4	CD300LG	HIPK1	MFSD6L	NLRC4	out	SLC39A13	CRYZL1	CPA6	TSPEAR	NEXN	TTLL12	RDH10	TMEM74	EYA3	EPHB3	JAK1	NUDT9P1	DNAJC5G	MCMDC2	CRB2	C15orf40	GIMAP1	AKD1	ETV3	TRIOBP	VPS18	RHBDL2	ATP6V1E2	VTI1A	TMEM196	CYP11B1
1	1	1	0	1	1	1	0	0	1	1	0	0	0	1	0	0	1	1	0	1	1	0	0	1	1	0	0	1	1	1	1	1
1	1	1	0	1	1	1	0	0	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	1	1	0	0	1	0	1	1	1
0	1	1	0	1	1	0	0	0	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1
0	1	1	0	1	1	0	0	0	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	0	0	1	1	1	1	1
1	1	1	0	1	1	1	0	0	1	1	0	0	0	1	0	0	1	1	0	1	1	0	0	1	1	0	0	1	0	1	1	1
1	1	1	0	1	1	1	0	0	1	1	0	0	0	1	0	0	1	1	0	1	1	0	0	1	1	0	0	1	0	1	1	1
1	1	1	0	1	1	1	0	0	1	1	0	0	0	1	0	0	1	1	0	1	1	0	0	1	1	0	0	1	0	1	1	1
1	1	1	0	1	1	1	0	0	1	1	0	0	0	1	0	0	1	1	0	1	1	0	0	1	1	0	0	1	1	1	1	1
0	1	1	0	1	1	0	0	0	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	1	1	0	0	1	0	1	1	1
0	1	1	0	1	1	0	0	0	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1
1	1	1	0	1	1	1	0	0	1	1	0	0	0	1	0	0	1	1	0	1	1	0	0	1	1	0	0	1	0	1	1	1
1	1	1	0	1	1	1	0	0	1	1	0	0	0	1	0	0	1	1	0	1	1	0	0	1	1	0	0	1	0	1	1	1
0	1	1	0	1	1	0	0	0	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	0	0	1	0	1	1	1
0	1	1	0	1	1	0	0	0	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	1	1	0	0	1	0	1	1	1
0	1	1	0	1	1	0	0	0	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1
0	1	1	0	1	1	0	0	0	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	1	1	0	0	1	0	1	1	1
1	1	1	0	1	1	1	0	0	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1
0	1	1	0	1	1	0	0	0	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1
1	1	1	0	1	1	1	0	0	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	1	1	0	0	1	0	0	1	1
1	1	1	0	1	1	1	0	0	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	1	1	0	0	1	0	0	1	1
0	1	1	0	1	1	0	0	0	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	1	1	0	0	1	0	1	1	1
0	1	1	0	1	1	0	0	0	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	1	1	0	0	1	0	1	1	1
0	1	1	0	1	1	0	0	0	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	0	0	1	1	1	1	1
0	1	1	0	1	1	0	0	0	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1
0	1	1	0	1	1	0	0	0	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	1	1	0	0	1	0	1	1	1
0	1	1	0	1	1	0	0	0	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1
0	1	1	0	1	1	0	0	0	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	1	1	0	0	1	0	1	1	1
0	1	1	0	1	1	0	0	0	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1
0	1	1	0	1	1	0	0	0	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1
1	1	1	0	1	1	1	0	0	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1
1	1	1	0	1	1	1	0	0	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1
1	1	1	0	1	1	1	0	0	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	1	1	0	0	1	1	1	1	1
1	1	1	0	1	1	1	0	0	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	1	1	0	0	1	0	1	1	1
0	1	0	0	1	1	0	0	0	1	0	1	0	0	1	0	1	0	1	1	1	1	1	0	1	0	0	0	1	1	0	1	1
0	1	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	1	1	1	0	0	0	1	0	0	0	1	1	0	1	1
0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	1	1	1	0	0	0	1	0	0	0	1	1	0	1	1
1	1	0	0	1	1	1	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	0	0	1	0	0	0	1	1	0	1	1
0	1	0	0	1	1	0	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	0	0	1	0	0	0	1	1	0	1	1
0	1	0	0	1	1	0	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	0	0	1	0	0	0	1	1	0	1	1
0	1	0	0	1	1	0	0	0	1	1	1	0	0	1	0	1	0	1	1	1	1	0	0	1	0	0	0	1	1	0	1	1
0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	0	1	0	1	1	1	0	0	0	1	0	0	0	1	1	0	1	1
0	1	0	0	1	1	0	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	0	0	1	0	0	0	1	1	0	1	1
0	1	0	0	1	1	0	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	0	0	1	0	0	0	1	1	0	1	1
0	1	0	0	1	1	0	0	0	1	1	0	0	0	1	0	0	0	1	1	1	1	0	0	1	0	0	0	1	1	0	1	1
1	1	0	0	1	1	1	0	0	1	0	0	0	0	1	0	1	0	1	1	1	0	0	0	1	0	0	0	1	1	0	1	1
1	1	0	0	1	0	1	0	0	1	1	0	0	0	1	0	1	0	1	1	1	0	0	0	1	0	0	0	1	1	0	1	1
1	0	0	0	1	1	1	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1	0	1	0	0	0	1	1	0	1	1
1	0	0	0	1	1	1	0	0	1	0	0	0	0	1	0	1	0	1	1	1	1	0	0	1	0	0	0	1	1	0	1	1
1	1	0	0	1	1	1	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	0	0	1	0	0	0	1	1	0	1	1
1	1	0	0	1	1	1	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	0	0	1	0	0	0	1	1	0	1	1
1	1	0	0	1	1	1	0	0	1	1	1	0	0	1	0	1	0	1	1	1	1	0	0	1	0	0	0	1	1	0	1	1
1	1	0	0	1	1	1	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	0	0	1	0	0	0	1	1	0	1	1
1	0	0	0	1	1	1	0	0	1	0	0	0	0	1	0	1	0	1	1	1	1	0	0	1	0	0	0	1	1	0	1	1
